SKU,Launch Year,SKUs Recently Added,CategoryID,ProductID,RootModelNumber,Category,Product,Configuration,CurrentMinRetailerPrice,CurrentAvgRetailerPrice,CurrentMaxRetailerPrice,Online Price Quartile,Retailer Price Quartile,Online Price Range,Brand,Series,Standard Color,Capacity Range,Width (Approx.),Built-in Water Heater,Energy Rating,Motor Speeds,Stackable,Steam Cycle,Maximum RPM,CEE Tier,Wash Basket Material,Number Wash Cycles,Derivative Model,Model Status,Wifi Connected,Capacity (cu ft),ADA Compliant,Cold Optimized,Agitator or Impeller,Commercial (Yes/No),Detergent Dispenser,Fabric Softener Dispenser,Bleach Dispenser,POD Dispenser,Auto Dose Dispenser,Description,Key Feature,Key Feature1,Key Feature2,Key Feature3,Key Feature4,Key Feature5,Additional Features1,Additional Features2,Additional Features3,Additional Features4,Additional Features5,Additional Features6,Additional Features7,Additional Features8,Additional Features9,Additional Features10,Additional Features11,Additional Features12,Additional Features13,Additional Features14,Additional Features15,Color Description,Width,Height,Depth,Additional Dimensions1,Additional Dimensions2,Additional Dimensions3,Appearance1,Appearance2,Appearance3,Appearance4,Appearance5,Appearance6,Appearance7,Appearance8,Appearance9,Appearance10,Appearance11,Capacity1,Capacity2,Controls1,Controls2,Controls3,Controls4,Controls5,Controls6,Controls7,Controls8,Controls9,Controls10,Convenience Features1,Convenience Features2,Convenience Features3,Convenience Features4,Convenience Features5,Convenience Features6,Convenience Features7,Convenience Features8,Convenience Features9,Convenience Features10,Convenience Features11,Convenience Features12,Convenience Features13,Convenience Features14,Convenience Features15,Convenience Features16,Convenience Features17,Dimensions1,Dimensions2,Energy/Sound/Power1,Energy/Sound/Power2,Energy/Sound/Power3,Energy/Sound/Power4,Energy/Sound/Power5,Energy/Sound/Power6,Energy/Sound/Power7,Energy/Sound/Power8,Wash Cycles1,Wash Cycles2,Wash Cycles3,Wash Cycles4,Wash Cycles5,Wash Cycles6,Wash Cycles7,Wash Cycles8,Wash Cycles9,Wash Cycles10,Wash Cycles11,Wash Cycles12,Wash Cycles13,Wash Cycles14,Wash Cycles15,Wash Cycles16,Wash Cycles17,Wash Cycles18,Wash Cycles19,Wash Cycles20,Wash Cycles21,Wash Cycles22,Wash Cycles23,Wash Cycles24,Wash Cycles25,Wash Cycles26,Wash Cycles27,Wash Cycles28,Wash Cycles29,Wash Cycles30,Wash Cycles31,Wash Cycles32,Wash Cycles33,Wash Cycles34,Wash Cycles35,Wash Cycles36,Wash Cycles37,Wash Cycles38,Wash Cycles39,Wash Cycles40,Wash Cycles41,Washing System1,Washing System2,Washing System3,Washing System4,Washing System5,Washing System6,Washing System7,Washing System8,Washing System9,Washing System10,Washing System11,Washing System12,Washing System13,Washing System14,Washing System15,Washing System16
mclw84wi,2023,10/23/2023,1,12,,Laundry,Washers,Compact & Portable Washers,268,277,285,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,18,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,7 or Less,,Active Model,No,0.9,Unassigned,No,,No,No,No,No,No,No,0.84 cu. ft. Top Load Washer in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcstcw17w5,2023,5/8/2023,1,12,,Laundry,Washers,Compact & Portable Washers,500,500,500,,Low - 25% & Below,,Magic Chef,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,,Active Model,No,1.7,Unassigned,No,,No,No,No,No,No,No,1.7 cu. ft. Portable Compact Top Load Washer in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcstcw20w4,2023,5/8/2023,1,12,,Laundry,Washers,Compact & Portable Washers,,,,,Retail Price Not Available,,Magic Chef,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,,Active Model,No,2,Unassigned,No,,No,No,No,No,No,No,"2.0 cu. ft. Compact Top Load Washing Machine in White, Portable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcstcw20w5,2023,5/8/2023,1,12,,Laundry,Washers,Compact & Portable Washers,,,,,Retail Price Not Available,,Magic Chef,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,Unassigned,,Active Model,No,2,Unassigned,No,,No,No,No,No,No,No,2.0 cu. ft. Compact Portable Top Load Washer in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcstcw20w6,2023,5/8/2023,1,12,,Laundry,Washers,Compact & Portable Washers,630,630,630,,Low - 25% & Below,,Magic Chef,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,,Active Model,No,2,Unassigned,No,,No,No,No,No,No,No,2.0 cu. ft. Compact Portable Top Load Washer in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlh25n7bww,2023,9/1/2023,1,12,,Laundry,Washers,Compact & Portable Washers,837,837,837,,High/Mid - 50% to 75%,,Midea,,White,3.0 & Under cu ft,24,Yes,Energy Star®,Unassigned,Yes,Yes,1300 and Over,Unassigned,Stainless Steel,14 or More,,Active Model,No,2.5,Unassigned,No,,No,No,No,No,No,No,24 Inch Compact Front Load Washer with 2.5 cu. ft. Capacity in W,,16 Wash Cycles w/ 8 Options,Sanitize Cycle,Energy Star® Certified,Steam Cycle,,Optional - Stacking Kit,,,,,,,,,,,,,,,White,,,,"24"" Minimum Opening (Width)",,,White Finish,,,,,,,,,,,4.4 Cu Ft Capacity,,White LED Display,,,,,,,,,,End-Of-Cycle Signal,,,,,,,,,,,,,,,,,"33"" H x 27"" D x 24"" W",,"120V, 4 Amps",,,,,,,,Bulky Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sensor Dry,,,,,,,,,,,,,,,
ns-fwm27w1,2021,2/24/2021,1,12,,Laundry,Washers,Compact & Portable Washers,780,780,780,,Low/Mid - 25% to 50%,,Insignia,,White,3.0 & Under cu ft,24,Yes,Energy Star®,5,Yes,No,1300 and Over,Unassigned,Stainless Steel,14 or More,Yes,Active Model,No,2.7,No,No,,No,Yes,Yes,No,No,Yes,2.7 cu ft. Front Load Washer,,2.7 cu ft Capacity,16 Automatic Wash Cycles,Energy Star® Certified,,,,Drain Hose Included,Fill Hose Included,,Power Cord Included,Stackable Installation,Stacking Kit Included,,,,,,,,,White,23 1/2 inches,33 1/2 inches,25 3/5 inches,"24"" Minimum Width Space",,,,Front Load Design,Stainless Steel Wash Tub,White Finish,,,,,,,,2.7 Cu. Ft. Capacity,,,End-of-Cycle Signal,Knob Cycle,LED Display,Time-Remaining Display,Touchscreen Controls,,,,,,Delay Start,Fabric Softener Dispenser,Multi Load Detergent Dispenser,Out of Balance Detection,Pre-Wash Detergent Dispenser,,,,,,,,,,,,"33 1/2"" H x 25 3/5"" D x 23 1/2"" W",,"120V, 11 Amps",,UL Listed,,,,,,16 Wash Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Soil Levels,5 Spin Speeds,5 Temperature Settings,Automatic Temperature Control,Automatic Water Levels,High Efficiency,Internal Water Heater,Vibration Reduction,,,,,,,
stw16d0w,2018,11/1/2018,1,12,STW16D0,Laundry,Washers,Compact & Portable Washers,339,419,450,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,Unassigned,Unassigned,Unassigned,Unassigned,No,Active Model,No,1.6,Yes,No,,No,No,No,No,No,No,1.6 cu ft Portable Washer,,3 Load Size Selections,,Pre-Programmed Cycles,Bottom Pulsator Wash Action,,Hot and Cold Water Inlets,,,,,,,,,,,,,,,White,20 1/4 inches,36 3/4 inches,20 3/4 inches,,,,,See-Through Lid,Soft-Close Lid,Top Load Portable/Freestanding Design,White Finish,,,,,,,1.6 Cu. Ft. Capacity,,Auto Power Off,,,,,,,,,,Control Lock-Out,,,,,,,,,,,,,,,,,"36 3/4"" H x 20 3/4"" D x 20 1/4"" W",,"120V, 60 Hz",,,,,,,,,Pre-Programmed Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Load Size Selections,,Bottom Pulsator Wash Action,,,,,,,,,,,,,
stw20d2p,2018,11/1/2018,1,12,STW20D2,Laundry,Washers,Compact & Portable Washers,400,519,674,,Low - 25% & Below,,Avanti,,Metallic,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,Unassigned,Unassigned,Unassigned,Unassigned,No,Active Model,No,2,Yes,No,,No,No,No,No,No,No,2.0 cu ft Portable Washer,,3 Load Size Selections,,Pre-Programmed Cycles,Bottom Pulsator Wash Action,,Hot and Cold Water Inlets,,,,,,,,,,,,,,,Platinum,21 3/4 inches,37 1/2 inches,22 1/4 inches,,,,,Platinum Finish,See-Through Lid,Soft-Close Lid,Top Load Portable/Freestanding Design,,,,,,,2.0 Cu. Ft. Capacity,,Auto Power Off,,,,,,,,,,Control Lock-Out,,,,,,,,,,,,,,,,,"37 1/2"" H x 22 1/4"" D x 21 3/4"" W",,"120V, 60 Hz",,,,,,,,,Pre-Programmed Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Load Size Selections,,Bottom Pulsator Wash Action,,,,,,,,,,,,,
stw30d0w,2018,11/1/2018,1,12,STW30D0,Laundry,Washers,Compact & Portable Washers,499,555,610,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,Unassigned,Unassigned,Unassigned,Unassigned,No,Active Model,No,3,Yes,No,,No,No,No,No,No,No,3.0 cu ft Portable Washer,,3 Load Size Selections,,Pre-Programmed Cycles,Bottom Pulsator Wash Action,,Hot and Cold Water Inlets,,,,,,,,,,,,,,,White,23 3/4 inches,39 1/2 inches,24 3/4 inches,,,,,See-Through Lid,Soft-Close Lid,Top Load Portable/Freestanding Design,White Finish,,,,,,,3.0 Cu. Ft. Capacity,,Auto Power Off,,,,,,,,,,Control Lock-Out,,,,,,,,,,,,,,,,,"39 1/2"" H x 24 3/4"" D x 23 3/4"" W",,"120V, 60 Hz",,,,,,,,,Pre-Programmed Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Load Size Selections,,Bottom Pulsator Wash Action,,,,,,,,,,,,,
